Page Type,URL,Meta Title,Meta Description,Meta Keywords,Stars,Language,Topics
Tool Page,https://www.trackmcp.com/tool/github-mcp-server,"github-mcp-server - 23,732⭐ MCP Tool","GitHub's official MCP Server. ⭐ 23,732 stars. Go implementation.","github-mcp-server, github-mcp-server MCP, MCP tool, Model Context Protocol, Go MCP, github, mcp, mcp-server, popular MCP tool, trending MCP tool",23732,Go,"github, mcp, mcp-server"
Tool Page,https://www.trackmcp.com/tool/github-mcp-server,"github-mcp-server - 23,709⭐ MCP Tool","GitHub's official MCP Server. ⭐ 23,709 stars. Go implementation.","github-mcp-server, github-mcp-server MCP, MCP tool, Model Context Protocol, Go MCP, github, mcp, mcp-server, popular MCP tool, trending MCP tool",23709,Go,"github, mcp, mcp-server"
Tool Page,https://www.trackmcp.com/tool/claude-task-master,"claude-task-master - 23,033⭐ MCP Tool","An AI-powered task-management system you can drop into Cursor, Lovable, Windsurf, Roo, and others.. ⭐ 23,033 stars. JavaScript implementation. MCP tool for AI d","claude-task-master, claude-task-master MCP, MCP tool, Model Context Protocol, JavaScript MCP, ai, cursor, cursor-ai, cursorai, lovable, popular MCP tool, trending MCP tool",23033,JavaScript,"ai, cursor, cursor-ai, cursorai, lovable, lovable-dev, roocode, task-manager, tasks, tasks-list, windsurf, windsurf-ai"
Tool Page,https://www.trackmcp.com/tool/playwright-mcp,"playwright-mcp - 22,066⭐ MCP Tool","Playwright MCP server. ⭐ 22,066 stars. TypeScript implementation.","playwright-mcp, playwright-mcp MCP, MCP tool, Model Context Protocol, TypeScript MCP, mcp, playwright, popular MCP tool, trending MCP tool",22066,TypeScript,"mcp, playwright"
Tool Page,https://www.trackmcp.com/tool/Roo-Code,"Roo-Code - 20,330⭐ MCP Tool","Roo Code gives you a whole dev team of AI agents in your code editor.. ⭐ 20,330 stars. TypeScript implementation. MCP tool for AI development.","Roo-Code, Roo-Code MCP, MCP tool, Model Context Protocol, TypeScript MCP, popular MCP tool, trending MCP tool",20330,TypeScript,
Tool Page,https://www.trackmcp.com/tool/repomix,"repomix - 19,761⭐ MCP Tool","📦 Repomix is a powerful tool that packs your entire repository into a single, AI-friendly file. Perfect for when you need to feed your codebase to Larg...","repomix, repomix MCP, MCP tool, Model Context Protocol, TypeScript MCP, ai, anthropic, artificial-intelligence, chatbot, chatgpt, popular MCP tool, trending MCP tool",19761,TypeScript,"ai, anthropic, artificial-intelligence, chatbot, chatgpt, claude, deepseek, developer-tools, gemini, genai, generative-ai, gpt, javascript, language-model, llama, llm, mcp, nodejs, openai, typescript"
Tool Page,https://www.trackmcp.com/tool/activepieces,"activepieces - 18,776⭐ MCP Tool",AI Agents & MCPs & AI Workflow Automation • (~400 MCP servers for AI agents) • AI Automation / AI Agent with MCPs • AI Workflows & AI Agents • MCPs for ...,"activepieces, activepieces MCP, MCP tool, Model Context Protocol, TypeScript MCP, ai-agent, ai-agent-tools, ai-agents, ai-agents-framework, mcp, popular MCP tool, trending MCP tool",18776,TypeScript,"ai-agent, ai-agent-tools, ai-agents, ai-agents-framework, mcp, mcp-server, mcp-tools, mcps, n8n-alternative, no-code-automation, workflow, workflow-automation, workflows"
Tool Page,https://www.trackmcp.com/tool/stagehand,"stagehand - 18,520⭐ MCP Tool","The AI Browser Automation Framework. ⭐ 18,520 stars. TypeScript implementation. MCP tool for AI development.","stagehand, stagehand MCP, MCP tool, Model Context Protocol, TypeScript MCP, agents, ai, llms, playwright, puppeteer, popular MCP tool, trending MCP tool",18520,TypeScript,"agents, ai, llms, playwright, puppeteer, selenium"
Tool Page,https://www.trackmcp.com/tool/serena,"serena - 14,455⭐ MCP Tool","A powerful coding agent toolkit providing semantic retrieval and editing capabilities (MCP server & other integrations). ⭐ 14,455 stars. Python implementation.","serena, serena MCP, MCP tool, Model Context Protocol, Python MCP, agent, ai, ai-coding, claude, claude-code, popular MCP tool, trending MCP tool",14455,Python,"agent, ai, ai-coding, claude, claude-code, language-server, llms, mcp-server, programming, vibe-coding"
Tool Page,https://www.trackmcp.com/tool/blender-mcp,"blender-mcp - 13,858⭐ MCP Tool","Model Context Protocol tool. ⭐ 13,858 stars. Python implementation.","blender-mcp, blender-mcp MCP, MCP tool, Model Context Protocol, Python MCP, popular MCP tool, trending MCP tool",13858,Python,
Tool Page,https://www.trackmcp.com/tool/chrome-devtools-mcp,"chrome-devtools-mcp - 11,562⭐ MCP Tool","Chrome DevTools for coding agents. ⭐ 11,562 stars. TypeScript implementation. MCP tool for AI development.","chrome-devtools-mcp, chrome-devtools-mcp MCP, MCP tool, Model Context Protocol, TypeScript MCP, browser, chrome, chrome-devtools, debugging, devtools, popular MCP tool, trending MCP tool",11562,TypeScript,"browser, chrome, chrome-devtools, debugging, devtools, mcp, mcp-server, puppeteer"
Tool Page,https://www.trackmcp.com/tool/chrome-devtools-mcp,"chrome-devtools-mcp - 11,562⭐ MCP Tool","Chrome DevTools for coding agents. ⭐ 11,562 stars. TypeScript implementation. MCP tool for AI development.","chrome-devtools-mcp, chrome-devtools-mcp MCP, MCP tool, Model Context Protocol, TypeScript MCP, browser, chrome, chrome-devtools, debugging, devtools, popular MCP tool, trending MCP tool",11562,TypeScript,"browser, chrome, chrome-devtools, debugging, devtools, mcp, mcp-server, puppeteer"
Tool Page,https://www.trackmcp.com/tool/genai-toolbox,"genai-toolbox - 10,995⭐ MCP Tool","MCP Toolbox for Databases is an open source MCP server for databases.. ⭐ 10,995 stars. Go implementation.","genai-toolbox, genai-toolbox MCP, MCP tool, Model Context Protocol, Go MCP, databases, genai, llms, mcp, popular MCP tool, trending MCP tool",10995,Go,"databases, genai, llms, mcp"
Tool Page,https://www.trackmcp.com/tool/mcp-chrome,"mcp-chrome - 8,862⭐ MCP Tool",Chrome MCP Server is a Chrome extension-based Model Context Protocol (MCP) server that exposes your Chrome browser functionality to AI assistants like C...,"mcp-chrome, mcp-chrome MCP, MCP tool, Model Context Protocol, TypeScript MCP, popular MCP tool, trending MCP tool",8862,TypeScript,
Tool Page,https://www.trackmcp.com/tool/cognee,"cognee - 7,708⭐ MCP Tool","Memory for AI Agents in 6 lines of code. ⭐ 7,708 stars. Python implementation. MCP tool for AI development.","cognee, cognee MCP, MCP tool, Model Context Protocol, Python MCP, ai, ai-agents, ai-memory, cognitive-architecture, cognitive-memory, popular MCP tool, trending MCP tool",7708,Python,"ai, ai-agents, ai-memory, cognitive-architecture, cognitive-memory, context-engineering, contributions-welcome, good-first-issue, good-first-pr, graph-database, graph-rag, graphrag, help-wanted, knowledge, knowledge-graph, neo4j, open-source, openai, rag, vector-database"
Tool Page,https://www.trackmcp.com/tool/browser-tools-mcp,"browser-tools-mcp - 6,728⭐ MCP Tool","Monitor browser logs directly from Cursor and other MCP compatible IDEs.. ⭐ 6,728 stars. JavaScript implementation.","browser-tools-mcp, browser-tools-mcp MCP, MCP tool, Model Context Protocol, JavaScript MCP, ai, anthropic, cursor, mcp, mcp-server, popular MCP tool, trending MCP tool",6728,JavaScript,"ai, anthropic, cursor, mcp, mcp-server"
Tool Page,https://www.trackmcp.com/tool/browser-tools-mcp,"browser-tools-mcp - 6,728⭐ MCP Tool","Monitor browser logs directly from Cursor and other MCP compatible IDEs.. ⭐ 6,728 stars. JavaScript implementation.","browser-tools-mcp, browser-tools-mcp MCP, MCP tool, Model Context Protocol, JavaScript MCP, ai, anthropic, cursor, mcp, mcp-server, popular MCP tool, trending MCP tool",6728,JavaScript,"ai, anthropic, cursor, mcp, mcp-server"
Tool Page,https://www.trackmcp.com/tool/git-mcp,"git-mcp - 6,687⭐ MCP Tool","Put an end to code hallucinations! GitMCP is a free, open-source, remote MCP server for any GitHub project. ⭐ 6,687 stars. TypeScript implementation.","git-mcp, git-mcp MCP, MCP tool, Model Context Protocol, TypeScript MCP, agentic-ai, agents, ai, claude, copilot, popular MCP tool, trending MCP tool",6687,TypeScript,"agentic-ai, agents, ai, claude, copilot, cursor, git, llm, mcp"
Tool Page,https://www.trackmcp.com/tool/postman-app-support,"postman-app-support - 5,958⭐ MCP Tool",Postman is an API platform for building and using APIs. Postman simplifies each step of the API lifecycle and streamlines collaboration so you can creat...,"postman-app-support, postman-app-support MCP, MCP tool, Model Context Protocol, popular MCP tool, trending MCP tool",5958,,
Tool Page,https://www.trackmcp.com/tool/cursor-talk-to-figma-mcp,"cursor-talk-to-figma-mcp - 5,539⭐ MCP Tool","CTTF: MCP integration between Cursor and Figma, allowing Cursor Agentic AI to communicate with Figma for reading designs and modifying them programmatic...","cursor-talk-to-figma-mcp, cursor-talk-to-figma-mcp MCP, MCP tool, Model Context Protocol, JavaScript MCP, agent, agentic, agentic-ai, ai, ai-agents, popular MCP tool, trending MCP tool",5539,JavaScript,"agent, agentic, agentic-ai, ai, ai-agents, automation, cursor, design, figma, generative-ai, llm, llms, mcp, model-context-protocol"
Tool Page,https://www.trackmcp.com/tool/whatsapp-mcp,"whatsapp-mcp - 4,992⭐ MCP Tool","WhatsApp MCP server. ⭐ 4,992 stars. Go implementation.","whatsapp-mcp, whatsapp-mcp MCP, MCP tool, Model Context Protocol, Go MCP, ai, mcp, whatsapp, whatsapp-api, popular MCP tool, trending MCP tool",4992,Go,"ai, mcp, whatsapp, whatsapp-api"
Tool Page,https://www.trackmcp.com/tool/mcp-playwright,"mcp-playwright - 4,918⭐ MCP Tool","Playwright Model Context Protocol Server - Tool to automate Browsers and APIs in Claude Desktop, Cline, Cursor IDE and More 🔌","mcp-playwright, mcp-playwright MCP, MCP tool, Model Context Protocol, TypeScript MCP, popular MCP tool, trending MCP tool",4918,TypeScript,
Tool Page,https://www.trackmcp.com/tool/DesktopCommanderMCP,"DesktopCommanderMCP - 4,701⭐ MCP Tool","This is MCP server for Claude that gives it terminal control, file system search and diff file editing capabilities. ⭐ 4,701 stars. TypeScript implementation.","DesktopCommanderMCP, DesktopCommanderMCP MCP, MCP tool, Model Context Protocol, TypeScript MCP, agent, ai, code-analysis, code-generation, mcp, popular MCP tool, trending MCP tool",4701,TypeScript,"agent, ai, code-analysis, code-generation, mcp, terminal-ai, terminal-automation, vibe-coding"
Tool Page,https://www.trackmcp.com/tool/5ire,"5ire - 4,680⭐ MCP Tool","5ire is a cross-platform desktop AI assistant, MCP client. It compatible with major service providers,  supports local knowledge base and  tools via mod...","5ire, 5ire MCP, MCP tool, Model Context Protocol, TypeScript MCP, knowledge-base, llms, mcp, mcp-client, model-context-protocol, popular MCP tool, trending MCP tool",4680,TypeScript,"knowledge-base, llms, mcp, mcp-client, model-context-protocol"
Tool Page,https://www.trackmcp.com/tool/aci,"aci - 4,663⭐ MCP Tool",ACI.dev is the open source tool-calling platform that hooks up 600+ tools into any agentic IDE or custom AI agent through direct function calling or a u...,"aci, aci MCP, MCP tool, Model Context Protocol, Python MCP, agents, ai, ai-agents, api, developer-tools, popular MCP tool, trending MCP tool",4663,Python,"agents, ai, ai-agents, api, developer-tools, function-calling, integration, llm, mcp, oauth2, open-source, permissions, tools, vibeops"
Tool Page,https://www.trackmcp.com/tool/deepchat,"deepchat - 4,495⭐ MCP Tool","🐬DeepChat - A smart assistant that connects powerful AI to your personal world. ⭐ 4,495 stars. TypeScript implementation. MCP tool for AI development.","deepchat, deepchat MCP, MCP tool, Model Context Protocol, TypeScript MCP, agent, ai, ai-assistant, ai-chat, chat, popular MCP tool, trending MCP tool",4495,TypeScript,"agent, ai, ai-assistant, ai-chat, chat, chatbot, chatgpt, claude, cross-platform, deepseek, gemini, llm-client, mcp, mcp-client, openai-client, tool-calling"
Tool Page,https://www.trackmcp.com/tool/claude-context,"claude-context - 4,153⭐ MCP Tool","Code search MCP for Claude Code. Make entire codebase the context for any coding agent.. ⭐ 4,153 stars. TypeScript implementation.","claude-context, claude-context MCP, MCP tool, Model Context Protocol, TypeScript MCP, agent, agentic-rag, ai-coding, claude-code, code-generation, popular MCP tool, trending MCP tool",4153,TypeScript,"agent, agentic-rag, ai-coding, claude-code, code-generation, code-search, cursor, embedding, gemini-cli, mcp, merkle-tree, nodejs, openai, rag, semantic-search, typescript, vector-database, vibe-coding, voyage-ai, vscode-extension"
Tool Page,https://www.trackmcp.com/tool/mcp-atlassian,"mcp-atlassian - 3,366⭐ MCP Tool","MCP server for Atlassian tools (Confluence, Jira). ⭐ 3,366 stars. Python implementation.","mcp-atlassian, mcp-atlassian MCP, MCP tool, Model Context Protocol, Python MCP, atlassian, confluence, jira, mcp, popular MCP tool, trending MCP tool",3366,Python,"atlassian, confluence, jira, mcp"
Tool Page,https://www.trackmcp.com/tool/refact,"refact - 3,344⭐ MCP Tool","AI Agent that handles engineering tasks end-to-end: integrates with developers’ tools, plans, executes, and iterates until it achieves a successful result.","refact, refact MCP, MCP tool, Model Context Protocol, Rust MCP, ai-agent, developer-tools, enterprise, fine-tuning, on-prem, popular MCP tool, trending MCP tool",3344,Rust,"ai-agent, developer-tools, enterprise, fine-tuning, on-prem, open-source, rag, self-hosted, swe-bench, vscode"
Tool Page,https://www.trackmcp.com/tool/container-use,"container-use - 3,163⭐ MCP Tool",Development environments for coding agents. Enable multiple agents to work safely and independently with your preferred stack.,"container-use, container-use MCP, MCP tool, Model Context Protocol, Go MCP, popular MCP tool, trending MCP tool",3163,Go,
Tool Page,https://www.trackmcp.com/tool/cipher,"cipher - 3,076⭐ MCP Tool","Byterover Cipher is an opensource memory layer specifically designed for coding agents. Compatible with Cursor, Codex, Claude Code, Windsurf, Cline, Cla...","cipher, cipher MCP, MCP tool, Model Context Protocol, TypeScript MCP, agent, llm, mcp, memory, vibe-coding, popular MCP tool, trending MCP tool",3076,TypeScript,"agent, llm, mcp, memory, vibe-coding"
Tool Page,https://www.trackmcp.com/tool/exa-mcp-server,"exa-mcp-server - 3,074⭐ MCP Tool","Exa MCP for web search and web crawling!. ⭐ 3,074 stars. TypeScript implementation.","exa-mcp-server, exa-mcp-server MCP, MCP tool, Model Context Protocol, TypeScript MCP, popular MCP tool, trending MCP tool",3074,TypeScript,
Tool Page,https://www.trackmcp.com/tool/exa-mcp-server,"exa-mcp-server - 3,074⭐ MCP Tool","Exa MCP for web search and web crawling!. ⭐ 3,074 stars. TypeScript implementation.","exa-mcp-server, exa-mcp-server MCP, MCP tool, Model Context Protocol, TypeScript MCP, popular MCP tool, trending MCP tool",3074,TypeScript,
Tool Page,https://www.trackmcp.com/tool/mcp-server-cloudflare,"mcp-server-cloudflare - 3,022⭐ MCP Tool","Model Context Protocol tool. ⭐ 3,022 stars. TypeScript implementation.","mcp-server-cloudflare, mcp-server-cloudflare MCP, MCP tool, Model Context Protocol, TypeScript MCP, popular MCP tool, trending MCP tool",3022,TypeScript,
Tool Page,https://www.trackmcp.com/tool/mcp-server-chart,"mcp-server-chart - 3,016⭐ MCP Tool","🤖 A visualization mcp contains 25+ visual charts using @antvis. Using for chart generation and data analysis.. ⭐ 3,016 stars. TypeScript implementation.","mcp-server-chart, mcp-server-chart MCP, MCP tool, Model Context Protocol, TypeScript MCP, antv, llm, mcp, mcp-server, visualization, popular MCP tool, trending MCP tool",3016,TypeScript,"antv, llm, mcp, mcp-server, visualization"
Tool Page,https://www.trackmcp.com/tool/apple-mcp,"apple-mcp - 2,732⭐ MCP Tool","Collection of apple-native tools for the model context protocol.. ⭐ 2,732 stars. TypeScript implementation.","apple-mcp, apple-mcp MCP, MCP tool, Model Context Protocol, TypeScript MCP, applescripts, modelcontextprotocol, popular MCP tool, trending MCP tool",2732,TypeScript,"applescripts, modelcontextprotocol"
Tool Page,https://www.trackmcp.com/tool/apple-mcp,"apple-mcp - 2,732⭐ MCP Tool","Collection of apple-native tools for the model context protocol.. ⭐ 2,732 stars. TypeScript implementation.","apple-mcp, apple-mcp MCP, MCP tool, Model Context Protocol, TypeScript MCP, applescripts, modelcontextprotocol, popular MCP tool, trending MCP tool",2732,TypeScript,"applescripts, modelcontextprotocol"
Tool Page,https://www.trackmcp.com/tool/mcp-server-browserbase,"mcp-server-browserbase - 2,729⭐ MCP Tool","Allow LLMs to control a browser with Browserbase and Stagehand. ⭐ 2,729 stars. TypeScript implementation. MCP tool for AI development.","mcp-server-browserbase, mcp-server-browserbase MCP, MCP tool, Model Context Protocol, TypeScript MCP, ai, browser, chrome, chromium, mcp, popular MCP tool, trending MCP tool",2729,TypeScript,"ai, browser, chrome, chromium, mcp, playwright, puppeteer"
Tool Page,https://www.trackmcp.com/tool/excel-mcp-server,"excel-mcp-server - 2,633⭐ MCP Tool","A Model Context Protocol server for Excel file manipulation. ⭐ 2,633 stars. Python implementation.","excel-mcp-server, excel-mcp-server MCP, MCP tool, Model Context Protocol, Python MCP, ai, automation, excel, llm, mcp, popular MCP tool, trending MCP tool",2633,Python,"ai, automation, excel, llm, mcp, mcp-server, sse, stdio, streamable-http, toolcalling"
Tool Page,https://www.trackmcp.com/tool/chatmcp,"chatmcp - 2,085⭐ MCP Tool","ChatMCP is an AI chat client implementing the Model Context Protocol (MCP).. ⭐ 2,085 stars. Dart implementation.","chatmcp, chatmcp MCP, MCP tool, Model Context Protocol, Dart MCP, ai, chat, client, mcp, mcp-client, popular MCP tool, trending MCP tool",2085,Dart,"ai, chat, client, mcp, mcp-client"
Tool Page,https://www.trackmcp.com/tool/MCP-SuperAssistant,"MCP-SuperAssistant - 2,002⭐ MCP Tool","Brings MCP to ChatGPT, DeepSeek, Perplexity, Grok, Gemini, Google AI Studio, OpenRouter, DeepSeek, T3 Chat and more.... ⭐ 2,002 stars. TypeScript implementation","MCP-SuperAssistant, MCP-SuperAssistant MCP, MCP tool, Model Context Protocol, TypeScript MCP, aistudio, assistant, chatgpt, deepseek, gemini, popular MCP tool, trending MCP tool",2002,TypeScript,"aistudio, assistant, chatgpt, deepseek, gemini, google, grok, kagi, mcp, openrouter, perplexity, qwen, t3"
Tool Page,https://www.trackmcp.com/tool/ableton-mcp,"ableton-mcp - 1,978⭐ MCP Tool","Model Context Protocol tool. ⭐ 1,978 stars. Python implementation.","ableton-mcp, ableton-mcp MCP, MCP tool, Model Context Protocol, Python MCP, popular MCP tool, trending MCP tool",1978,Python,
Tool Page,https://www.trackmcp.com/tool/basic-memory,"basic-memory - 1,950⭐ MCP Tool","AI conversations that actually remember. Never re-explain your project to Claude again. Local-first, integrates with Obsidian. Join our Discord: https:/...","basic-memory, basic-memory MCP, MCP tool, Model Context Protocol, Python MCP, ai, claude, knowledge-management, knowlege-graph, llm, popular MCP tool, trending MCP tool",1950,Python,"ai, claude, knowledge-management, knowlege-graph, llm, local-first, markdown, mcp, obsidian, obsidian-md, open-source, privacy-first, privacy-first-ai, productivity, python"
Tool Page,https://www.trackmcp.com/tool/DevDocs,"DevDocs - 1,934⭐ MCP Tool","Completely free, private, UI based Tech Documentation MCP server. Designed for coders and software developers in mind. Easily integrate into Cursor, Win...","DevDocs, DevDocs MCP, MCP tool, Model Context Protocol, TypeScript MCP, cline, crawl4ai, cursor, documentation, llm, popular MCP tool, trending MCP tool",1934,TypeScript,"cline, crawl4ai, cursor, documentation, llm, playwright, python3, scraper, security, typescript, windsurf"
Tool Page,https://www.trackmcp.com/tool/mcp-proxy,"mcp-proxy - 1,887⭐ MCP Tool","A bridge between Streamable HTTP and stdio MCP transports. ⭐ 1,887 stars. Python implementation.","mcp-proxy, mcp-proxy MCP, MCP tool, Model Context Protocol, Python MCP, mcp, mcp-server, proxy, sse, streamable-http, popular MCP tool, trending MCP tool",1887,Python,"mcp, mcp-server, proxy, sse, streamable-http"
Tool Page,https://www.trackmcp.com/tool/arxiv-mcp-server,"arxiv-mcp-server - 1,791⭐ MCP Tool","A Model Context Protocol server for searching and analyzing arXiv papers. ⭐ 1,791 stars. Python implementation.","arxiv-mcp-server, arxiv-mcp-server MCP, MCP tool, Model Context Protocol, Python MCP, ai, arxiv, claude-ai, gpt, mcp-server, popular MCP tool, trending MCP tool",1791,Python,"ai, arxiv, claude-ai, gpt, mcp-server, papers, research"
Tool Page,https://www.trackmcp.com/tool/mcp-crawl4ai-rag,"mcp-crawl4ai-rag - 1,784⭐ MCP Tool","Web Crawling and RAG Capabilities for AI Agents and AI Coding Assistants. ⭐ 1,784 stars. Python implementation. MCP tool for AI development.","mcp-crawl4ai-rag, mcp-crawl4ai-rag MCP, MCP tool, Model Context Protocol, Python MCP, popular MCP tool, trending MCP tool",1784,Python,
Tool Page,https://www.trackmcp.com/tool/mcp-grafana,"mcp-grafana - 1,725⭐ MCP Tool","MCP server for Grafana. ⭐ 1,725 stars. Go implementation.","mcp-grafana, mcp-grafana MCP, MCP tool, Model Context Protocol, Go MCP, popular MCP tool, trending MCP tool",1725,Go,
Tool Page,https://www.trackmcp.com/tool/codemcp,"codemcp - 1,563⭐ MCP Tool","Coding assistant MCP for Claude Desktop. ⭐ 1,563 stars. Python implementation.","codemcp, codemcp MCP, MCP tool, Model Context Protocol, Python MCP, popular MCP tool, trending MCP tool",1563,Python,
Tool Page,https://www.trackmcp.com/tool/metamcp,"metamcp - 1,499⭐ MCP Tool","MCP Aggregator, Orchestrator, Middleware, Gateway in one docker. ⭐ 1,499 stars. TypeScript implementation.","metamcp, metamcp MCP, MCP tool, Model Context Protocol, TypeScript MCP, mcp, mcp-gateway, mcp-host, mcp-middleware, mcp-server, popular MCP tool, trending MCP tool",1499,TypeScript,"mcp, mcp-gateway, mcp-host, mcp-middleware, mcp-server, mcp-servers, mcp-to-openapi, mcp-tools, model-context-protocol, model-context-protocol-server, model-context-protocol-servers, open-webui, openapi, self-hosted, vibe-coding"
Tool Page,https://www.trackmcp.com/tool/brightdata-mcp,"brightdata-mcp - 1,484⭐ MCP Tool","A powerful Model Context Protocol (MCP) server that provides an all-in-one solution for public web access.. ⭐ 1,484 stars. JavaScript implementation.","brightdata-mcp, brightdata-mcp MCP, MCP tool, Model Context Protocol, JavaScript MCP, ai-agents, ai-integrations, anti-bot-detection, browser-automation, data-collection, popular MCP tool, trending MCP tool",1484,JavaScript,"ai-agents, ai-integrations, anti-bot-detection, browser-automation, data-collection, data-extraction, llm, mcp, mcp-server, modelcontextprotocol, scraping, scraping-tools, structured-data, web-crawling, web-data, web-scraping"
Tool Page,https://www.trackmcp.com/tool/brightdata-mcp,"brightdata-mcp - 1,484⭐ MCP Tool","A powerful Model Context Protocol (MCP) server that provides an all-in-one solution for public web access.. ⭐ 1,484 stars. JavaScript implementation.","brightdata-mcp, brightdata-mcp MCP, MCP tool, Model Context Protocol, JavaScript MCP, ai-agents, ai-integrations, anti-bot-detection, browser-automation, data-collection, popular MCP tool, trending MCP tool",1484,JavaScript,"ai-agents, ai-integrations, anti-bot-detection, browser-automation, data-collection, data-extraction, llm, mcp, mcp-server, modelcontextprotocol, scraping, scraping-tools, structured-data, web-crawling, web-data, web-scraping"
Tool Page,https://www.trackmcp.com/tool/dbhub,"dbhub - 1,437⭐ MCP Tool","Universal database MCP server connecting to MySQL, PostgreSQL, SQL Server, MariaDB.. ⭐ 1,437 stars. TypeScript implementation.","dbhub, dbhub MCP, MCP tool, Model Context Protocol, TypeScript MCP, ai, anthropic, claude, claude-ai, cursor, popular MCP tool, trending MCP tool",1437,TypeScript,"ai, anthropic, claude, claude-ai, cursor, cursorai, database, dify, dify-plugins, mariadb, mcp, mcp-server, mysql, postgres, sqlite, sqlserver"
